MsgID.GLOBAL_POSITION,1520449359.8507750,-121.9939371,37.4137416,0.0640000
MsgID.LOCAL_VELOCITY,1520449359.8507750,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520449359.8510630,0.0982674,-0.0527749,-0.0647916
MsgID.LOCAL_VELOCITY,1520449359.8510630,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520449359.8514330,False,False
MsgID.GLOBAL_HOME,1520449359.8523111,-121.9939365,37.4137407,0.0000000
MsgID.GLOBAL_POSITION,1520449359.8524990,-121.9939386,37.4137415,0.0920000
MsgID.LOCAL_VELOCITY,1520449359.8524990,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520449359.8526700,0.0864900,-0.1872267,-0.0921828
MsgID.LOCAL_VELOCITY,1520449359.8526700,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520449359.8528321,-121.9939375,37.4137410,0.1230000
MsgID.LOCAL_VELOCITY,1520449359.8528321,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520449359.8530021,0.0302809,-0.0940738,-0.1239429
MsgID.LOCAL_VELOCITY,1520449359.8530021,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520449359.8532312,-121.9939365,37.4137395,0.1590000
MsgID.LOCAL_VELOCITY,1520449359.8532312,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520449359.8534908,-0.1318984,-0.0010969,-0.1594981
MsgID.LOCAL_VELOCITY,1520449359.8534908,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520449359.8536570,-121.9939365,37.4137392,0.1900000
MsgID.LOCAL_VELOCITY,1520449359.8536570,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520449359.8539689,-0.1607047,0.0000000,-0.1902479
MsgID.LOCAL_VELOCITY,1520449359.8539689,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520449359.8548510,False,False
